scenario,initial_tvl,final_tvl,total_hack_events,total_hack_losses,total_insurance_payouts,final_lp_capital,final_utilization,final_revenue_share,protocol_profit,lp_profit,hack_frequency,loss_ratio
Base Case,51284719.66225686,47387580.871134646,0,0.0,0.0,40967469.67935744,0.40413315652298687,0.4141568383670188,3347425.216426502,3078946.6148503046,0.0,0.0
Base Case,74405743.91677023,85225208.77778597,0,0.0,0.0,58843415.37061886,0.40132344210792115,0.3648323467595946,5195093.825694256,3962278.8668135977,0.0,0.0
Base Case,85041670.3975409,224718917.4986872,0,0.0,0.0,67817802.31862435,0.39856932919773624,0.36218910336357013,4822593.901719904,4588916.863058327,0.0,0.0
Base Case,141719076.74750003,253117706.15810722,0,0.0,0.0,111888125.62129699,0.39534404258173445,0.47038889830433334,7052630.599756537,9802527.790921036,0.0,0.0
Base Case,67408829.34576266,101480651.89572896,0,0.0,0.0,53309996.864810474,0.4021600643516637,0.4060966924669473,4109174.4354670662,3976016.8187998584,0.0,0.0
Base Case,141825526.3426428,82979346.3724018,0,0.0,0.0,111972167.80898489,0.3953130123922214,0.41379592496171896,9852314.513298735,8589895.241591338,0.0,0.0
Base Case,106258569.33099277,146838127.24412417,2,28539259.373445448,28539259.373445448,55346316.03120279,0.6046679327939358,0.5320966590138573,94353096.87709731,-23346257.75080474,2.0,1.0
Base Case,177797823.90951324,324526129.4229624,0,0.0,0.0,138467945.98453668,0.39330773405310177,0.5046848072351173,7867686.738945512,13063057.474722657,0.0,0.0
Base Case,72744795.07627201,93912268.66013762,0,0.0,0.0,57529875.6728074,0.4004389390680452,0.32232719625655326,5422412.3896618355,3439968.941543375,0.0,0.0
Base Case,79413846.4609909,161586798.0366286,0,0.0,0.0,63331178.77114763,0.4005473273669812,0.37572342694321,4845408.449789677,4418518.136629632,0.0,0.0
Base Case,106275294.99331684,103740044.38904457,0,0.0,0.0,83903881.89959703,0.3990525062682728,0.41389002276,6951257.759798125,6424015.3370656,0.0,0.0
Base Case,117711668.97221932,330954227.30194086,0,0.0,0.0,92152541.88992952,0.39701546498217416,0.53103194196723,3801889.8454634603,9096204.095851364,0.0,0.0
Base Case,191397735.60400677,110207400.40029848,0,0.0,0.0,149059434.07231122,0.3910909852400009,0.3780000347848196,14152240.113417257,10533644.27806974,0.0,0.0
Base Case,177176562.8843176,171794139.23054338,0,0.0,0.0,137984113.52329928,0.39345167926355695,0.4997035291527126,9516631.878827669,12803570.875204455,0.0,0.0
Base Case,151693332.23128635,340093768.51073635,0,0.0,0.0,119763073.70894006,0.3933439134762603,0.5500879144148156,5313864.00142248,12239140.458848769,0.0,0.0
Base Case,66699624.20078666,75436423.24113744,2,23960139.72280051,21341748.987528875,31407382.250897422,0.6761805421547116,0.5537795549473508,68289458.38217491,-17802373.96884926,2.0,0.8907188870530681
Base Case,73548775.68374999,54683107.85705176,0,0.0,0.0,58366223.78139768,0.4012835737159857,0.32983403590318155,5798095.900759779,3558726.035626065,0.0,0.0
Base Case,154470377.83967924,114637433.64693445,0,0.0,0.0,121955561.88389412,0.3937294972406502,0.3767556526039555,11370136.859074337,8565464.676269088,0.0,0.0
Base Case,65909735.89320991,104590790.50359757,0,0.0,0.0,52124458.386655666,0.40186053268887745,0.43965833792565473,3640857.3933623144,4192523.124622852,0.0,0.0
Base Case,126008901.7249355,228805579.88104442,0,0.0,0.0,99485117.16569413,0.3971240794166525,0.43849898673023385,6880077.755481102,8128362.910994884,0.0,0.0
Base Case,65775819.08265128,51780462.738792196,0,0.0,0.0,52018552.02603574,0.4019459796231506,0.38000790676878904,4679581.154595121,3617749.344309544,0.0,0.0
Base Case,128574997.99320138,125189675.35259748,0,0.0,0.0,101509653.84280887,0.3962888581374344,0.27823799209646244,10875126.981848326,5343329.591102434,0.0,0.0
Base Case,179995556.42755967,228798113.58223835,0,0.0,0.0,139476658.92617267,0.3936615466858173,0.5413180318496648,7951712.988777226,14037920.211333122,0.0,0.0
Base Case,135579743.771811,36470569.1182182,1,57078704.19947905,42331604.77835536,64709728.94665958,0.6541768211276148,0.4374079327808599,67359500.13994136,-12928838.28494306,1.0,0.7416357006006054
Base Case,71244540.36151111,93550511.0040997,0,0.0,0.0,56343418.82560186,0.4013120695060638,0.32569979444977076,5247778.0574246105,3405886.0726792566,0.0,0.0
Base Case,147523040.82076237,201058491.76700884,2,36363763.60633276,36363763.60633276,80106849.015165,0.5735666613403547,0.39316586384900704,150578693.26943144,-40212139.837461986,2.0,1.0
Base Case,167135584.81886992,187996883.6470058,0,0.0,0.0,129511646.27687727,0.39477546322510676,0.5602829406422808,7216414.109674769,13442106.920053378,0.0,0.0
Base Case,112926292.45230584,170271969.00308487,0,0.0,0.0,88406254.86580811,0.39733055229619274,0.4805738695659301,5742504.954410059,7842000.7340071965,0.0,0.0
Base Case,171710543.94628772,199087594.1781341,0,0.0,0.0,133056718.30051395,0.3936625659888923,0.5501146625064979,7572061.272091999,13564880.840771543,0.0,0.0
Base Case,149199341.3674947,159983906.16671216,0,0.0,0.0,117794058.34211251,0.39402608755971863,0.3476400681622704,11107733.543625383,7674178.800602993,0.0,0.0
Base Case,72982390.5349695,97074155.23991834,0,0.0,0.0,58174687.26405633,0.4008336576635995,0.2936868696294553,5734503.76918552,3190481.2189203426,0.0,0.0
Base Case,191577531.2179469,211818846.74042663,1,31748000.552411545,31748000.552411545,117451456.71608351,0.4967570193400106,0.49674668227854557,95033675.901044,-16353057.190663215,1.0,1.0
Base Case,162401339.19780332,188442099.23608306,0,0.0,0.0,128217086.34037125,0.39246651407362143,0.4356660738464877,9928191.979522554,10388583.878273586,0.0,0.0
Base Case,123644358.12856479,125581432.33520815,0,0.0,0.0,97617802.83911313,0.3967428466710564,0.3811245105526834,8668603.21783964,6921552.279083803,0.0,0.0
Base Case,162185827.47445306,325533233.79418445,0,0.0,0.0,128046939.00696722,0.392520999309549,0.4218762337971159,8911347.086406656,10123997.163480084,0.0,0.0
Base Case,187607822.59274733,188709542.4933466,1,93231654.64818978,56981502.16065641,88393795.65322895,0.6446323719845254,0.5533148189884369,176652636.19468912,-44621713.04933482,1.0,0.611181925019742
Base Case,185309228.72187623,428137300.3179296,0,0.0,0.0,143594149.48045155,0.3924668390966808,0.4849940986630994,7825683.89457056,13087442.510553004,0.0,0.0
