t,U,U_cap,cap_scale,gamma,gamma_raw,p_anchor,p_risk,lam_bar,CLP,sum_CC,coverage,r_pool_eff,n_hacks,claims,paid,forfeited,shortfall,mean_h,mean_p,exp_hacks,insured_frac,fp_iters,fp_conv,eps_stage,seed
2,10.024414692965477,21.01395432187773,1.0,0.3850355093153778,0.6529411823513649,0.004489890170429445,0.0023200224425860673,0.004646784953317272,687.9038819505306,4150.226038856384,5519.522032220321,0.1,0,0.0,0.0,0.0,0.0,1.14,0.0011539748805476913,0.5769874402738456,1.0,7,True,7.051914607814069e-12,1001
3,8.207831484757056,21.01395432187773,1.0,0.3603718039603867,0.5837979480132345,0.004489890170429445,0.0023664636668693233,0.004739940191414219,820.7622136181345,4335.284749328328,5646.199140760166,0.1,0,0.0,0.0,0.0,0.0,1.1626666666666665,0.0011771937897480105,0.5885968948740052,1.0,8,True,5.286437954055145e-12,1001
4,7.0424327328784155,20.34943101853157,1.0,0.33731002549668654,0.5213460042499285,0.00498752080731768,0.0023991042283255442,0.004805416284724277,948.8624432282331,4534.105300201441,5780.162679094097,0.1,0,0.0,0.0,0.0,0.0,1.19,0.001193477372226455,0.5967386861132276,1.0,8,True,1.004063499010499e-11,1001
5,6.196621556771168,20.34943101853157,1.0,0.33046692884096807,0.4917848363063304,0.00498752080731768,0.0024604216521393,0.004928424638419344,1077.1756802487428,4660.761753894527,5879.741470118628,0.1,0,0.0,0.0,0.0,0.0,1.2126666666666668,0.0012240310045232496,0.6120155022616248,1.0,4,True,5.9543481256696396e-12,1001
6,5.5459570971241785,20.34943101853157,1.0,0.3260374746779715,0.46800533074697226,0.00498752080731768,0.0024928657924185972,0.004993514371629937,1206.7092925507793,4774.825798262746,5973.97010872508,0.1,0,0.0,0.0,0.0,0.0,1.2406666666666666,0.0012402426896690885,0.6201213448345442,1.0,7,True,2.291500322826323e-12,1001
7,5.03385833172283,20.34943101853157,1.0,0.32389363344773237,0.45024229987427455,0.00498752080731768,0.0025323216917457316,0.005072674726904709,1373.2576701252756,4901.820379183853,6074.403626274102,0.1,2,70.33078855356587,70.33078855356587,101.60807571190188,0.0,1.2693333333333332,0.001259830549761965,0.6299152748809825,1.0,4,True,1.0231815394945443e-11,1001
0,18.51798931766407,20.34943101853157,1.0,0.5332871702473183,0.9876892869558505,0.00498752080731768,0.0025044858883500505,0.0050168273588670756,388.25963751365674,2919.1681603167117,4629.497329416018,0.1,0,0.0,0.0,0.0,0.0,0.9613333333333333,0.00124759346799141,0.623796733995705,1.0,13,True,4.86471973815128e-13,1002
1,13.329762422823979,21.7261134321297,1.0,0.44080397229300816,0.7853705724903866,0.003992010656008516,0.002065278002506266,0.004135896141284354,541.3221461636467,3646.1360349684255,5175.408726428801,0.1,2,4.014989910878212,4.014989910878212,9.451409160956572,0.0,1.0626666666666666,0.0010283164003809682,0.5141582001904841,1.0,7,True,1.1757650408839027e-11,1002
2,9.939616458606269,21.7261134321297,1.0,0.384276041203062,0.648620633245067,0.003992010656008516,0.0020519055468145924,0.004109082246247764,677.2061235909737,3972.274161979854,5380.534513416251,0.1,0,0.0,0.0,0.0,0.0,1.092,0.0010217227800666867,0.5108613900333433,1.0,8,True,2.2888357875672227e-12,1002
3,8.173845750865143,21.7261134321297,1.0,0.3578722663799091,0.5769891788191555,0.003992010656008516,0.002040231436113738,0.004085674169558372,810.3265439576362,4203.370404508791,5535.378395773934,0.1,0,0.0,0.0,0.0,0.0,1.1253333333333335,0.0010159643645637655,0.5079821822818827,1.0,8,True,1.1439738045737613e-12,1002
